userID,name,keahlian
1,Mazikee Cortez,Mahir
2,Zayn Norris,Sedang
3,Arielle Cunningham,Sedang
4,Alejandro Chapman,Sedang
5,Zuri Arias,Sedang
6,Alec Austin,Sedang
7,Alivia Stafford,Sedang
8,Alfredo Tang,Mahir
9,Belle Chen,Sedang
10,Emmanuel McDonald,Mahir
11,Daisy Richards,Sedang
12,Holden Compton,Mahir
13,Elina Combs,Mahir
14,Ahmad Meyers,Pemula
15,Leyla Dillon,Sedang
16,Alvin Sellers,Sedang
17,Mercy Graham,Sedang
18,Giovanni Bowman,Mahir
19,Fiona Nielsen,Pemula
20,Tru Archer,Mahir
21,Kadence Jones,Sedang
22,William Fields,Mahir
23,Annie Evans,Mahir
24,Elias Everett,Pemula
25,Noah Foley,Pemula
26,Mohammad Chase,Mahir
27,Angie Hansen,Sedang
28,Charlie Palmer,Sedang
29,Juniper Campos,Sedang
30,Gideon Sharp,Mahir
31,Camryn Monroe,Pemula
32,Colby Patrick,Sedang
33,Lyra McLaughlin,Pemula
34,Ibrahim Prince,Pemula
35,Greta Cummings,Sedang
36,Raiden Blanchard,Mahir
37,Layne Wilcox,Sedang
38,Jerry Vaughn,Mahir
39,Reign Taylor,Mahir
40,Jackson Whitney,Pemula
41,Madalynn Costa,Pemula
42,Kenji Sanders,Mahir
43,Everleigh Cain,Pemula
44,Benson Larson,Mahir
45,Alayna Wallace,Mahir
46,Chase Dennis,Pemula
47,Maisie Day,Pemula
48,Kayson Bryant,Pemula
49,Parker Fernandez,Mahir
50,Bentley Glover,Mahir
51,Alessia Sosa,Mahir
52,Emir Hoover,Pemula
53,Virginia Gonzalez,Pemula
54,Ethan Weiss,Sedang
55,Lennox Buck,Sedang
56,Jon Friedman,Sedang
57,Aspyn Cain,Sedang
58,Benson Carpenter,Mahir
59,Lilly Hughes,Mahir
60,Everett Joseph,Pemula
61,Gracelynn Charles,Sedang
62,Conrad Olson,Mahir
63,Isabel Mendez,Sedang
64,Arthur Love,Sedang
65,Avianna Levy,Sedang
66,Harold Figueroa,Sedang
67,Lilith Garrett,Pemula
68,Kairo Larson,Pemula
69,Alayna Cantrell,Pemula
70,Harris Moody,Sedang
71,Elaine Frederick,Sedang
72,Kase Roman,Mahir
73,Astrid Sandoval,Pemula
74,Brantley Leon,Sedang
75,Amora Rodriguez,Mahir
76,Henry Kirby,Pemula
77,Skyla Armstrong,Mahir
78,Grant Haynes,Sedang
79,Lexi Bond,Pemula
80,Roger Osborne,Pemula
81,Shelby Jaramillo,Pemula
82,Riggs Tapia,Mahir
83,Michaela Luna,Mahir
84,Erick Tran,Pemula
85,Kylie Moreno,Mahir
86,Myles Shah,Mahir
87,Angelica Alvarado,Pemula
88,Andres Gregory,Pemula
89,Alaya Orozco,Sedang
90,Keanu Patton,Mahir
91,Lorelei Delacruz,Sedang
92,Memphis Dunn,Pemula
93,Olive Cole,Pemula
94,Nathaniel Melton,Pemula
95,Kamiyah Ingram,Sedang
96,Tripp Mann,Pemula
97,Paislee Mathis,Pemula
98,Gustavo Neal,Pemula
99,Talia Mendoza,Mahir
100,Dominic Benson,Mahir
101,Collins Mayer,Mahir
102,Yahir Curtis,Sedang
103,Alexis Bowers,Pemula
104,Dorian Prince,Pemula
105,Greta Morton,Pemula
106,Roland Greer,Sedang
107,Reina Crawford,Sedang
108,Kevin Fischer,Sedang
109,Maci Ford,Sedang
110,Luis Frye,Pemula
111,Raya McGee,Sedang
112,Conner Manning,Mahir
113,Jennifer Evans,Mahir
114,Elias Bates,Sedang
115,Madilyn McKenzie,Pemula
116,Scott Herman,Mahir
117,Paulina Hart,Mahir
118,Joel Townsend,Pemula
119,Azalea Graham,Mahir
120,Giovanni Montoya,Mahir
121,Kamryn Meadows,Mahir
122,Wayne Holloway,Mahir
123,Mae Snyder,Mahir
124,Thiago Buck,Pemula
125,Livia Randolph,Pemula
126,Eugene Glass,Mahir
127,Clare Alvarado,Sedang
128,Andres Crane,Pemula
129,Della Perry,Mahir
130,Waylon Burton,Sedang
131,Miriam Dominguez,Mahir
132,Kaden Duncan,Pemula
133,Elise Winters,Pemula
134,Deandre Burke,Mahir
135,Vera Graham,Sedang
136,Giovanni Maddox,Mahir
137,Zainab Paul,Pemula
138,Noel Contreras,Pemula
139,Daniela Nichols,Mahir
140,Atlas Finley,Pemula
141,Jovie Luna,Sedang
142,Erick Moss,Mahir
143,Bianca Shannon,Mahir
144,Eliel Savage,Pemula
145,Louise Rose,Sedang
146,Hayden Peters,Sedang
147,Leila Valdez,Pemula
148,Kyler Garrison,Pemula
149,Cadence Kaur,Sedang
150,Augustine Travis,Mahir
151,Mazikee Pace,Pemula
152,Dior Hughes,Pemula
153,Samantha Roberts,Mahir
154,Josiah Huff,Pemula
155,Karsyn Vincent,Mahir
156,Aarav Salazar,Pemula
157,Freya Carpenter,Mahir
158,Jeremy Hunt,Mahir
159,Genevieve Hail,Sedang
160,Hector Lowery,Pemula
161,Estelle Bridges,Mahir
162,Mohammed Daugherty,Mahir
163,Magdalena Vazquez,Mahir
164,Jesse Singh,Mahir
165,Vivienne Charles,Sedang
166,Conrad Howell,Sedang
167,Mckenna McDaniel,Sedang
168,Major Hickman,Pemula
169,Scarlette Lester,Sedang
170,Lee Short,Sedang
171,Cheyenne Quintana,Pemula
172,Kelvin Bass,Mahir
173,Zahra Carrillo,Pemula
174,Wade Waters,Sedang
175,Bristol Knapp,Pemula
176,Boden Yang,Mahir
177,Angelina Powell,Pemula
178,Bennett Nixon,Mahir
179,Deborah Merritt,Sedang
180,Colten Mullen,Mahir
181,Shay Wagner,Pemula
182,Enzo Livingston,Sedang
183,Milena Barton,Mahir
184,Cassius Contreras,Mahir
185,Daniela Grant,Pemula
186,Leon Ware,Mahir
187,Eileen Guzman,Pemula
188,Jude Jenkins,Sedang
189,Rylee Avalos,Pemula
190,Coen Hanson,Mahir
191,Mariana Byrd,Sedang
192,Cristian Rivers,Pemula
193,Kiana Ballard,Mahir
194,Kenzo Maldonado,Pemula
195,Elaina Paul,Mahir
196,Noel Owen,Pemula
197,Mikayla Mayo,Sedang
198,Jericho Cardenas,Sedang
199,Raven Briggs,Pemula
200,Case McCann,Pemula
201,Joyce Pollard,Mahir
202,Jad Dominguez,Pemula
203,Raegan Jacobs,Pemula
204,Bryan Nava,Pemula
205,Scout Elliott,Sedang
206,Blake Chambers,Mahir
207,Makayla Trujillo,Pemula
208,Apollo Singh,Mahir
209,Vivienne Small,Sedang
210,Rudy Martinez,Sedang
211,Harper Rush,Mahir
212,Kaiser Barnett,Mahir
213,Harlow Esquivel,Mahir
214,Bridger Mullen,Pemula
215,Shay Campos,Mahir
216,Gideon Beard,Mahir
217,Ezra Branch,Sedang
218,Keenan Vega,Pemula
219,Dakota Hayes,Mahir
220,Legend Joseph,Sedang
221,Gracelynn Montoya,Mahir
222,Ford Hester,Sedang
223,Zendaya Clayton,Pemula
224,Boston Moreno,Pemula
225,Mary Murray,Pemula
226,Ashton Bowman,Mahir
227,Fiona Callahan,Mahir
228,Quinton Ortega,Sedang
229,Lilah Nielsen,Sedang
230,Tru Knapp,Sedang
231,Linda Burns,Sedang
232,August Buchanan,Mahir
233,Maryam Quintero,Pemula
234,Thatcher Barton,Pemula
235,Danna Scott,Pemula
236,Leo Valentine,Sedang
237,August Person,Pemula
238,Moses Lee,Sedang
239,Scarlett Hood,Mahir
240,Brixton Wyatt,Sedang
241,Liberty Krueger,Pemula
242,Jones Huber,Sedang
243,Raquel Warner,Sedang
244,Jaxton Vo,Pemula
245,Artemis Frazier,Pemula
246,Callum Jenkins,Pemula
247,Rylee Fields,Sedang
248,Clayton Ferguson,Mahir
249,Juliana McCullough,Mahir
250,Briar Stanley,Pemula
251,Gracelyn Graham,Mahir
252,Giovanni Coffey,Mahir
253,Paola O’brien,Pemula
254,Riley Glover,Pemula
255,Alessia Simon,Mahir
256,Zayne Lucero,Mahir
257,Ila Jenkins,Pemula
258,Declan Austin,Pemula
259,Alivia Montoya,Mahir
260,Ford Ahmed,Sedang
261,Jolie Kirk,Sedang
262,Alessandro Blackburn,Sedang
263,Frida Barrera,Mahir
264,Makai Bradley,Mahir
265,Vanessa Scott,Mahir
266,Leo Monroe,Mahir
267,Carly Malone,Mahir
268,Ruben Zhang,Mahir
269,Sarai Clayton,Mahir
270,Boston Woodard,Sedang
271,Aubrie Fuentes,Sedang
272,Bowen Farmer,Sedang
273,Madelynn Hopkins,Pemula
274,Ali Galindo,Sedang
275,Corinne Pittman,Sedang
276,Valentino Fernandez,Sedang
277,Amara Rollins,Pemula
278,Wes Roberts,Mahir
279,Paisley Cohen,Pemula
280,Killian Wolf,Sedang
281,Jolene Pitts,Mahir
282,Trey Hopkins,Pemula
283,Gabriela Garrison,Sedang
284,Noe Richmond,Sedang
285,Whitney Harrington,Mahir
286,Omari Villarreal,Sedang
287,Jazlyn Sandoval,Mahir
288,Brantley Huynh,Mahir
289,Oaklee Stokes,Mahir
290,Santana Ortiz,Mahir
291,Anna Roberson,Pemula
292,Shepherd Rocha,Pemula
293,Emmie Keith,Mahir
294,Jagger Mayer,Sedang
295,Ainhoa Davis,Mahir
296,Lucas Campos,Pemula
297,Sutton Snyder,Sedang
298,Thiago Jefferson,Mahir
299,Julieta Parker,Mahir
300,Caleb Nichols,Pemula
301,Aliyah Cochran,Pemula
302,Danny Barber,Sedang
303,Cassidy Matthews,Sedang
304,Preston Burns,Sedang
305,Emerson Cherry,Mahir
306,Rome Russo,Mahir
307,Tinsley Hoover,Pemula
308,Jaziel Donaldson,Mahir
309,Natasha Gallegos,Sedang
310,Jonas Schneider,Pemula
311,Delaney Swanson,Pemula
312,Hugo Phillips,Sedang
313,Naomi Orozco,Sedang
314,Keanu Clay,Sedang
315,Aliana Stanley,Pemula
316,Manuel Floyd,Sedang
317,Yaretzi Navarro,Sedang
318,Reid Villanueva,Pemula
319,Monroe McLean,Mahir
320,Crosby Bond,Pemula
321,Alena Velazquez,Pemula
322,Drew Diaz,Mahir
323,Elena Rodriguez,Mahir
324,Henry Glenn,Sedang
325,Blaire Parker,Mahir
326,Caleb Webb,Sedang
327,Ariella Yoder,Pemula
328,Johan Harvey,Sedang
329,Nicole Burton,Sedang
330,Zander Jenkins,Sedang
331,Rylee Swanson,Sedang
332,Hugo Figueroa,Pemula
333,Lilith Hughes,Sedang
334,Everett Poole,Mahir
335,Bonnie Woodward,Mahir
336,Jeremias Wong,Mahir
337,Adelaide Miles,Mahir
338,Jared McKay,Pemula
339,Leanna Schneider,Pemula
340,Raymond Pennington,Sedang
341,Yareli Townsend,Pemula
342,Alexis Cameron,Sedang
343,Julie Drake,Mahir
344,Jalen Hendricks,Mahir
345,Dani Molina,Mahir
346,Prince Tanner,Sedang
347,Harmoni Li,Pemula
348,Jorge Colon,Mahir
349,Remy Pierce,Sedang
350,Nicolas Carpenter,Sedang
351,Lilly Valenzuela,Sedang
352,Jamari Marin,Sedang
353,Celia Weaver,Pemula
354,Tucker Enriquez,Mahir
355,Nellie Hess,Sedang
356,Lawrence Hampton,Sedang
357,Leona Jacobson,Mahir
358,Legacy Wilkinson,Sedang
359,Siena Bush,Sedang
360,Tyson Moon,Sedang
361,Naya Parker,Pemula
362,Caleb Sims,Pemula
363,Lena Hodge,Sedang
364,Reign Phillips,Pemula
365,Naomi Shepherd,Pemula
366,Ronald Mercado,Mahir
367,Mckinley Clayton,Pemula
368,Boston Padilla,Sedang
369,Maggie Golden,Mahir
370,Amias Holloway,Sedang
371,Mae Yang,Mahir
372,Malcolm Franco,Sedang
373,Charleigh Turner,Mahir
374,Joshua Frost,Pemula
375,Paula Boyer,Pemula
376,Zeke Murphy,Sedang
377,Bella Gallegos,Mahir
378,Jonas Burch,Pemula
379,Freyja Villegas,Pemula
380,Clyde Macias,Pemula
381,Adley Stephens,Sedang
382,Messiah Berger,Mahir
383,Laylah Stevenson,Pemula
384,Callan Robinson,Pemula
385,Nora Stokes,Pemula
386,Santana Terrell,Pemula
387,Paityn Dawson,Pemula
